id,timestamp,name,userId,sessionId,release,version,environment,tags,bookmarked,public,input,output,metadata
"18721106b2422300424ca5865f87c729","2025-10-26T14:32:04.713Z","on_chat_start","","","","","production","[]","false","false","","","{""attributes"":""{}"",""resourceAttributes"":""{\""telemetry.sdk.language\"":\""python\"",\""telemetry.sdk.name\"":\""opentelemetry\"",\""telemetry.sdk.version\"":\""1.37.0\"",\""host.name\"":\""cf0843fa0ca397dc42f23a59195d05d0987f244a6ff62d8a19b3a356b4d5d60f\"",\""service.name\"":\""chainlit\"",\""deployment.environment\"":\""production\""}"",""scope"":""{\""name\"":\""chainlit\"",\""version\"":\""1.3.1\"",\""attributes\"":{}}""}"
"18721106b242230089669a4fa084dc0f","2025-10-26T14:32:04.713Z","on_message","","","","","production","[]","false","false","","","{""attributes"":""{}"",""resourceAttributes"":""{\""telemetry.sdk.language\"":\""python\"",\""telemetry.sdk.name\"":\""opentelemetry\"",\""telemetry.sdk.version\"":\""1.37.0\"",\""host.name\"":\""cf0843fa0ca397dc42f23a59195d05d0987f244a6ff62d8a19b3a356b4d5d60f\"",\""service.name\"":\""chainlit\"",\""deployment.environment\"":\""production\""}"",""scope"":""{\""name\"":\""chainlit\"",\""version\"":\""1.3.1\"",\""attributes\"":{}}""}"
"187211080d5fab00f5622b2b1b121d17","2025-10-26T14:32:10.537Z","connection_successful","","","","","production","[]","false","false","","","{""attributes"":""{}"",""resourceAttributes"":""{\""telemetry.sdk.language\"":\""python\"",\""telemetry.sdk.name\"":\""opentelemetry\"",\""telemetry.sdk.version\"":\""1.37.0\"",\""host.name\"":\""cf0843fa0ca397dc42f23a59195d05d0987f244a6ff62d8a19b3a356b4d5d60f\"",\""service.name\"":\""chainlit\"",\""deployment.environment\"":\""production\""}"",""scope"":""{\""name\"":\""chainlit\"",\""version\"":\""1.3.1\"",\""attributes\"":{}}""}"
"1872110814784d00390110b04b7ba0a0","2025-10-26T14:32:10.656Z","init Step run","","","","","production","[]","false","false","","","{""attributes"":""{}"",""resourceAttributes"":""{\""telemetry.sdk.language\"":\""python\"",\""telemetry.sdk.name\"":\""opentelemetry\"",\""telemetry.sdk.version\"":\""1.37.0\"",\""host.name\"":\""cf0843fa0ca397dc42f23a59195d05d0987f244a6ff62d8a19b3a356b4d5d60f\"",\""service.name\"":\""chainlit\"",\""deployment.environment\"":\""production\""}"",""scope"":""{\""name\"":\""chainlit\"",\""version\"":\""1.3.1\"",\""attributes\"":{}}""}"
"1872110814c624000255ad5b4dfd4f7d","2025-10-26T14:32:10.661Z","init Message","","","","","production","[]","false","false","","","{""attributes"":""{}"",""resourceAttributes"":""{\""telemetry.sdk.language\"":\""python\"",\""telemetry.sdk.name\"":\""opentelemetry\"",\""telemetry.sdk.version\"":\""1.37.0\"",\""host.name\"":\""cf0843fa0ca397dc42f23a59195d05d0987f244a6ff62d8a19b3a356b4d5d60f\"",\""service.name\"":\""chainlit\"",\""deployment.environment\"":\""production\""}"",""scope"":""{\""name\"":\""chainlit\"",\""version\"":\""1.3.1\"",\""attributes\"":{}}""}"
"1872110815046700b52af4ff7b623fbd","2025-10-26T14:32:10.665Z","send_message","","","","","production","[]","false","false","","","{""attributes"":""{}"",""resourceAttributes"":""{\""telemetry.sdk.language\"":\""python\"",\""telemetry.sdk.name\"":\""opentelemetry\"",\""telemetry.sdk.version\"":\""1.37.0\"",\""host.name\"":\""cf0843fa0ca397dc42f23a59195d05d0987f244a6ff62d8a19b3a356b4d5d60f\"",\""service.name\"":\""chainlit\"",\""deployment.environment\"":\""production\""}"",""scope"":""{\""name\"":\""chainlit\"",\""version\"":\""1.3.1\"",\""attributes\"":{}}""}"
"18721108150e8700c37686cde172a78e","2025-10-26T14:32:10.665Z","update_step","","","","","production","[]","false","false","","","{""attributes"":""{}"",""resourceAttributes"":""{\""telemetry.sdk.language\"":\""python\"",\""telemetry.sdk.name\"":\""opentelemetry\"",\""telemetry.sdk.version\"":\""1.37.0\"",\""host.name\"":\""cf0843fa0ca397dc42f23a59195d05d0987f244a6ff62d8a19b3a356b4d5d60f\"",\""service.name\"":\""chainlit\"",\""deployment.environment\"":\""production\""}"",""scope"":""{\""name\"":\""chainlit\"",\""version\"":\""1.3.1\"",\""attributes\"":{}}""}"
"1872110f2cf24e00fab2304299ef65c7","2025-10-26T14:32:41.131Z","init Message","","","","","production","[]","false","false","","","{""attributes"":""{}"",""resourceAttributes"":""{\""telemetry.sdk.language\"":\""python\"",\""telemetry.sdk.name\"":\""opentelemetry\"",\""telemetry.sdk.version\"":\""1.37.0\"",\""host.name\"":\""cf0843fa0ca397dc42f23a59195d05d0987f244a6ff62d8a19b3a356b4d5d60f\"",\""service.name\"":\""chainlit\"",\""deployment.environment\"":\""production\""}"",""scope"":""{\""name\"":\""chainlit\"",\""version\"":\""1.3.1\"",\""attributes\"":{}}""}"
"1872110f2d268f00a0eb542271aefbe2","2025-10-26T14:32:41.134Z","init Step run","","","","","production","[]","false","false","","","{""attributes"":""{}"",""resourceAttributes"":""{\""telemetry.sdk.language\"":\""python\"",\""telemetry.sdk.name\"":\""opentelemetry\"",\""telemetry.sdk.version\"":\""1.37.0\"",\""host.name\"":\""cf0843fa0ca397dc42f23a59195d05d0987f244a6ff62d8a19b3a356b4d5d60f\"",\""service.name\"":\""chainlit\"",\""deployment.environment\"":\""production\""}"",""scope"":""{\""name\"":\""chainlit\"",\""version\"":\""1.3.1\"",\""attributes\"":{}}""}"
"1872110f2e3b4b0045d7c30df35c072c","2025-10-26T14:32:41.153Z","init Message","","","","","production","[]","false","false","","","{""attributes"":""{}"",""resourceAttributes"":""{\""telemetry.sdk.language\"":\""python\"",\""telemetry.sdk.name\"":\""opentelemetry\"",\""telemetry.sdk.version\"":\""1.37.0\"",\""host.name\"":\""cf0843fa0ca397dc42f23a59195d05d0987f244a6ff62d8a19b3a356b4d5d60f\"",\""service.name\"":\""chainlit\"",\""deployment.environment\"":\""production\""}"",""scope"":""{\""name\"":\""chainlit\"",\""version\"":\""1.3.1\"",\""attributes\"":{}}""}"
